S.L,Name,Number,Address,Age,Religion,Status,Qualification
76,Rakesh Das,DEMO-0076,Malda,50,Other,A,HS
77,Sumit Das,DEMO-0077,Nadia,51,Hindu,A,HS
78,Kunal Das,DEMO-0078,Howrah,52,Muslim,B,Madhyamik
79,Tapan Das,DEMO-0079,Hooghly,53,Christian,A,Graduate
80,Bikram Das,DEMO-0080,Bardhaman,54,Other,C,HS
81,Puja Das,DEMO-0081,Kolkata,55,Hindu,A,HS
82,Priya Das,DEMO-0082,Murshidabad,56,Muslim,A,HS
83,Riya Das,DEMO-0083,Jangipur,57,Christian,B,Madhyamik
84,Moumita Das,DEMO-0084,Berhampore,58,Other,A,Graduate
85,Sneha Das,DEMO-0085,Raghunathganj,59,Hindu,C,HS
86,Ananya Das,DEMO-0086,Malda,60,Muslim,A,HS
87,Payel Das,DEMO-0087,Nadia,18,Christian,A,HS
88,Sonia Das,DEMO-0088,Howrah,19,Other,B,Madhyamik
89,Tania Das,DEMO-0089,Hooghly,20,Hindu,A,Graduate
90,Rupali Das,DEMO-0090,Bardhaman,21,Muslim,C,HS
91,Amit Dey,DEMO-0091,Kolkata,22,Christian,A,HS
92,Suman Dey,DEMO-0092,Murshidabad,23,Other,A,HS
93,Rahul Dey,DEMO-0093,Jangipur,24,Hindu,B,Madhyamik
94,Rohit Dey,DEMO-0094,Berhampore,25,Muslim,A,Graduate
95,Ankit Dey,DEMO-0095,Raghunathganj,26,Christian,C,HS
96,Arjun Dey,DEMO-0096,Malda,27,Other,A,HS
97,Vikash Dey,DEMO-0097,Nadia,28,Hindu,A,HS
98,Sourav Dey,DEMO-0098,Howrah,29,Muslim,B,Madhyamik
99,Subhajit Dey,DEMO-0099,Hooghly,30,Christian,A,Graduate
100,Surojit Dey,DEMO-0100,Bardhaman,31,Other,C,HS
101,Bishal Dey,DEMO-0101,Kolkata,32,Hindu,A,HS
102,Debashis Dey,DEMO-0102,Murshidabad,33,Muslim,A,HS
103,Abhishek Dey,DEMO-0103,Jangipur,34,Christian,B,Madhyamik
104,Pradip Dey,DEMO-0104,Berhampore,35,Other,A,Graduate
105,Raj Dey,DEMO-0105,Raghunathganj,36,Hindu,C,HS
106,Rakesh Dey,DEMO-0106,Malda,37,Muslim,A,HS
107,Sumit Dey,DEMO-0107,Nadia,38,Christian,A,HS
108,Kunal Dey,DEMO-0108,Howrah,39,Other,B,Madhyamik
109,Tapan Dey,DEMO-0109,Hooghly,40,Hindu,A,Graduate
110,Bikram Dey,DEMO-0110,Bardhaman,41,Muslim,C,HS
111,Puja Dey,DEMO-0111,Kolkata,42,Christian,A,HS
112,Priya Dey,DEMO-0112,Murshidabad,43,Other,A,HS
113,Riya Dey,DEMO-0113,Jangipur,44,Hindu,B,Madhyamik
114,Moumita Dey,DEMO-0114,Berhampore,45,Muslim,A,Graduate
115,Sneha Dey,DEMO-0115,Raghunathganj,46,Christian,C,HS
116,Ananya Dey,DEMO-0116,Malda,47,Other,A,HS
117,Payel Dey,DEMO-0117,Nadia,48,Hindu,A,HS
118,Sonia Dey,DEMO-0118,Howrah,49,Muslim,B,Madhyamik
119,Tania Dey,DEMO-0119,Hooghly,50,Christian,A,Graduate
120,Rupali Dey,DEMO-0120,Bardhaman,51,Other,C,HS
121,Amit Saha,DEMO-0121,Kolkata,52,Hindu,A,HS
122,Suman Saha,DEMO-0122,Murshidabad,53,Muslim,A,HS
123,Rahul Saha,DEMO-0123,Jangipur,54,Christian,B,Madhyamik
124,Rohit Saha,DEMO-0124,Berhampore,55,Other,A,Graduate
125,Ankit Saha,DEMO-0125,Raghunathganj,56,Hindu,C,HS
126,Arjun Saha,DEMO-0126,Malda,57,Muslim,A,HS
127,Vikash Saha,DEMO-0127,Nadia,58,Christian,A,HS
128,Sourav Saha,DEMO-0128,Howrah,59,Other,B,Madhyamik
129,Subhajit Saha,DEMO-0129,Hooghly,60,Hindu,A,Graduate
130,Surojit Saha,DEMO-0130,Bardhaman,18,Muslim,C,HS
131,Bishal Saha,DEMO-0131,Kolkata,19,Christian,A,HS
132,Debashis Saha,DEMO-0132,Murshidabad,20,Other,A,HS
133,Abhishek Saha,DEMO-0133,Jangipur,21,Hindu,B,Madhyamik
134,Pradip Saha,DEMO-0134,Berhampore,22,Muslim,A,Graduate
135,Raj Saha,DEMO-0135,Raghunathganj,23,Christian,C,HS
136,Rakesh Saha,DEMO-0136,Malda,24,Other,A,HS
137,Sumit Saha,DEMO-0137,Nadia,25,Hindu,A,HS
138,Kunal Saha,DEMO-0138,Howrah,26,Muslim,B,Madhyamik
139,Tapan Saha,DEMO-0139,Hooghly,27,Christian,A,Graduate
140,Bikram Saha,DEMO-0140,Bardhaman,28,Other,C,HS
141,Puja Saha,DEMO-0141,Kolkata,29,Hindu,A,HS
142,Priya Saha,DEMO-0142,Murshidabad,30,Muslim,A,HS
143,Riya Saha,DEMO-0143,Jangipur,31,Christian,B,Madhyamik
144,Moumita Saha,DEMO-0144,Berhampore,32,Other,A,Graduate
145,Sneha Saha,DEMO-0145,Raghunathganj,33,Hindu,C,HS
146,Ananya Saha,DEMO-0146,Malda,34,Muslim,A,HS
147,Payel Saha,DEMO-0147,Nadia,35,Christian,A,HS
148,Sonia Saha,DEMO-0148,Howrah,36,Other,B,Madhyamik
149,Tania Saha,DEMO-0149,Hooghly,37,Hindu,A,Graduate
150,Rupali Saha,DEMO-0150,Bardhaman,38,Muslim,C,HS
151,Amit Paul,DEMO-0151,Kolkata,39,Christian,A,HS
152,Suman Paul,DEMO-0152,Murshidabad,40,Other,A,HS
153,Rahul Paul,DEMO-0153,Jangipur,41,Hindu,B,Madhyamik
154,Rohit Paul,DEMO-0154,Berhampore,42,Muslim,A,Graduate
155,Ankit Paul,DEMO-0155,Raghunathganj,43,Christian,C,HS
156,Arjun Paul,DEMO-0156,Malda,44,Other,A,HS
157,Vikash Paul,DEMO-0157,Nadia,45,Hindu,A,HS
158,Sourav Paul,DEMO-0158,Howrah,46,Muslim,B,Madhyamik
159,Subhajit Paul,DEMO-0159,Hooghly,47,Christian,A,Graduate
160,Surojit Paul,DEMO-0160,Bardhaman,48,Other,C,HS
161,Bishal Paul,DEMO-0161,Kolkata,49,Hindu,A,HS
162,Debashis Paul,DEMO-0162,Murshidabad,50,Muslim,A,HS
163,Abhishek Paul,DEMO-0163,Jangipur,51,Christian,B,Madhyamik
164,Pradip Paul,DEMO-0164,Berhampore,52,Other,A,Graduate
165,Raj Paul,DEMO-0165,Raghunathganj,53,Hindu,C,HS
166,Rakesh Paul,DEMO-0166,Malda,54,Muslim,A,HS
167,Sumit Paul,DEMO-0167,Nadia,55,Christian,A,HS
168,Kunal Paul,DEMO-0168,Howrah,56,Other,B,Madhyamik
169,Tapan Paul,DEMO-0169,Hooghly,57,Hindu,A,Graduate
170,Bikram Paul,DEMO-0170,Bardhaman,58,Muslim,C,HS
171,Puja Paul,DEMO-0171,Kolkata,59,Christian,A,HS
172,Priya Paul,DEMO-0172,Murshidabad,60,Other,A,HS
173,Riya Paul,DEMO-0173,Jangipur,18,Hindu,B,Madhyamik
174,Moumita Paul,DEMO-0174,Berhampore,19,Muslim,A,Graduate
175,Sneha Paul,DEMO-0175,Raghunathganj,20,Christian,C,HS
176,Ananya Paul,DEMO-0176,Malda,21,Other,A,HS
177,Payel Paul,DEMO-0177,Nadia,22,Hindu,A,HS
178,Sonia Paul,DEMO-0178,Howrah,23,Muslim,B,Madhyamik
179,Tania Paul,DEMO-0179,Hooghly,24,Christian,A,Graduate
180,Rupali Paul,DEMO-0180,Bardhaman,25,Other,C,HS
181,Amit Mondal,DEMO-0181,Kolkata,26,Hindu,A,HS
182,Suman Mondal,DEMO-0182,Murshidabad,27,Muslim,A,HS
183,Rahul Mondal,DEMO-0183,Jangipur,28,Christian,B,Madhyamik
184,Rohit Mondal,DEMO-0184,Berhampore,29,Other,A,Graduate
185,Ankit Mondal,DEMO-0185,Raghunathganj,30,Hindu,C,HS
186,Arjun Mondal,DEMO-0186,Malda,31,Muslim,A,HS
187,Vikash Mondal,DEMO-0187,Nadia,32,Christian,A,HS
188,Sourav Mondal,DEMO-0188,Howrah,33,Other,B,Madhyamik
189,Subhajit Mondal,DEMO-0189,Hooghly,34,Hindu,A,Graduate
190,Surojit Mondal,DEMO-0190,Bardhaman,35,Muslim,C,HS
191,Bishal Mondal,DEMO-0191,Kolkata,36,Christian,A,HS
192,Debashis Mondal,DEMO-0192,Murshidabad,37,Other,A,HS
193,Abhishek Mondal,DEMO-0193,Jangipur,38,Hindu,B,Madhyamik
194,Pradip Mondal,DEMO-0194,Berhampore,39,Muslim,A,Graduate
195,Raj Mondal,DEMO-0195,Raghunathganj,40,Christian,C,HS
196,Rakesh Mondal,DEMO-0196,Malda,41,Other,A,HS
197,Sumit Mondal,DEMO-0197,Nadia,42,Hindu,A,HS
198,Kunal Mondal,DEMO-0198,Howrah,43,Muslim,B,Madhyamik
199,Tapan Mondal,DEMO-0199,Hooghly,44,Christian,A,Graduate
200,Bikram Mondal,DEMO-0200,Bardhaman,45,Other,C,HS
201,Puja Mondal,DEMO-0201,Kolkata,46,Hindu,A,HS
202,Priya Mondal,DEMO-0202,Murshidabad,47,Muslim,A,HS
203,Riya Mondal,DEMO-0203,Jangipur,48,Christian,B,Madhyamik
204,Moumita Mondal,DEMO-0204,Berhampore,49,Other,A,Graduate
205,Sneha Mondal,DEMO-0205,Raghunathganj,50,Hindu,C,HS
206,Ananya Mondal,DEMO-0206,Malda,51,Muslim,A,HS
207,Payel Mondal,DEMO-0207,Nadia,52,Christian,A,HS
208,Sonia Mondal,DEMO-0208,Howrah,53,Other,B,Madhyamik
209,Tania Mondal,DEMO-0209,Hooghly,54,Hindu,A,Graduate
210,Rupali Mondal,DEMO-0210,Bardhaman,55,Muslim,C,HS
211,Amit Sarkar,DEMO-0211,Kolkata,56,Christian,A,HS
212,Suman Sarkar,DEMO-0212,Murshidabad,57,Other,A,HS
213,Rahul Sarkar,DEMO-0213,Jangipur,58,Hindu,B,Madhyamik
214,Rohit Sarkar,DEMO-0214,Berhampore,59,Muslim,A,Graduate
215,Ankit Sarkar,DEMO-0215,Raghunathganj,60,Christian,C,HS
216,Arjun Sarkar,DEMO-0216,Malda,18,Other,A,HS
217,Vikash Sarkar,DEMO-0217,Nadia,19,Hindu,A,HS
218,Sourav Sarkar,DEMO-0218,Howrah,20,Muslim,B,Madhyamik
219,Subhajit Sarkar,DEMO-0219,Hooghly,21,Christian,A,Graduate
220,Surojit Sarkar,DEMO-0220,Bardhaman,22,Other,C,HS
221,Bishal Sarkar,DEMO-0221,Kolkata,23,Hindu,A,HS
222,Debashis Sarkar,DEMO-0222,Murshidabad,24,Muslim,A,HS
223,Abhishek Sarkar,DEMO-0223,Jangipur,25,Christian,B,Madhyamik
224,Pradip Sarkar,DEMO-0224,Berhampore,26,Other,A,Graduate
225,Raj Sarkar,DEMO-0225,Raghunathganj,27,Hindu,C,HS
226,Rakesh Sarkar,DEMO-0226,Malda,28,Muslim,A,HS
227,Sumit Sarkar,DEMO-0227,Nadia,29,Christian,A,HS
228,Kunal Sarkar,DEMO-0228,Howrah,30,Other,B,Madhyamik
229,Tapan Sarkar,DEMO-0229,Hooghly,31,Hindu,A,Graduate
230,Bikram Sarkar,DEMO-0230,Bardhaman,32,Muslim,C,HS
231,Puja Sarkar,DEMO-0231,Kolkata,33,Christian,A,HS
232,Priya Sarkar,DEMO-0232,Murshidabad,34,Other,A,HS
233,Riya Sarkar,DEMO-0233,Jangipur,35,Hindu,B,Madhyamik
234,Moumita Sarkar,DEMO-0234,Berhampore,36,Muslim,A,Graduate
235,Sneha Sarkar,DEMO-0235,Raghunathganj,37,Christian,C,HS
236,Ananya Sarkar,DEMO-0236,Malda,38,Other,A,HS
237,Payel Sarkar,DEMO-0237,Nadia,39,Hindu,A,HS
238,Sonia Sarkar,DEMO-0238,Howrah,40,Muslim,B,Madhyamik
239,Tania Sarkar,DEMO-0239,Hooghly,41,Christian,A,Graduate
240,Rupali Sarkar,DEMO-0240,Bardhaman,42,Other,C,HS
241,Amit Chatterjee,DEMO-0241,Kolkata,43,Hindu,A,HS
242,Suman Chatterjee,DEMO-0242,Murshidabad,44,Muslim,A,HS
243,Rahul Chatterjee,DEMO-0243,Jangipur,45,Christian,B,Madhyamik
244,Rohit Chatterjee,DEMO-0244,Berhampore,46,Other,A,Graduate
245,Ankit Chatterjee,DEMO-0245,Raghunathganj,47,Hindu,C,HS
246,Arjun Chatterjee,DEMO-0246,Malda,48,Muslim,A,HS
247,Vikash Chatterjee,DEMO-0247,Nadia,49,Christian,A,HS
248,Sourav Chatterjee,DEMO-0248,Howrah,50,Other,B,Madhyamik
249,Subhajit Chatterjee,DEMO-0249,Hooghly,51,Hindu,A,Graduate
250,Surojit Chatterjee,DEMO-0250,Bardhaman,52,Muslim,C,HS
251,Bishal Chatterjee,DEMO-0251,Kolkata,53,Christian,A,HS
252,Debashis Chatterjee,DEMO-0252,Murshidabad,54,Other,A,HS
253,Abhishek Chatterjee,DEMO-0253,Jangipur,55,Hindu,B,Madhyamik
254,Pradip Chatterjee,DEMO-0254,Berhampore,56,Muslim,A,Graduate
255,Raj Chatterjee,DEMO-0255,Raghunathganj,57,Christian,C,HS
256,Rakesh Chatterjee,DEMO-0256,Malda,58,Other,A,HS
257,Sumit Chatterjee,DEMO-0257,Nadia,59,Hindu,A,HS
258,Kunal Chatterjee,DEMO-0258,Howrah,60,Muslim,B,Madhyamik
259,Tapan Chatterjee,DEMO-0259,Hooghly,18,Christian,A,Graduate
260,Bikram Chatterjee,DEMO-0260,Bardhaman,19,Other,C,HS
261,Puja Chatterjee,DEMO-0261,Kolkata,20,Hindu,A,HS
262,Priya Chatterjee,DEMO-0262,Murshidabad,21,Muslim,A,HS
263,Riya Chatterjee,DEMO-0263,Jangipur,22,Christian,B,Madhyamik
264,Moumita Chatterjee,DEMO-0264,Berhampore,23,Other,A,Graduate
265,Sneha Chatterjee,DEMO-0265,Raghunathganj,24,Hindu,C,HS
266,Ananya Chatterjee,DEMO-0266,Malda,25,Muslim,A,HS
267,Payel Chatterjee,DEMO-0267,Nadia,26,Christian,A,HS
268,Sonia Chatterjee,DEMO-0268,Howrah,27,Other,B,Madhyamik
269,Tania Chatterjee,DEMO-0269,Hooghly,28,Hindu,A,Graduate
270,Rupali Chatterjee,DEMO-0270,Bardhaman,29,Muslim,C,HS
271,Amit Biswas,DEMO-0271,Kolkata,30,Christian,A,HS
272,Suman Biswas,DEMO-0272,Murshidabad,31,Other,A,HS
273,Rahul Biswas,DEMO-0273,Jangipur,32,Hindu,B,Madhyamik
274,Rohit Biswas,DEMO-0274,Berhampore,33,Muslim,A,Graduate
275,Ankit Biswas,DEMO-0275,Raghunathganj,34,Christian,C,HS
276,Arjun Biswas,DEMO-0276,Malda,35,Other,A,HS
277,Vikash Biswas,DEMO-0277,Nadia,36,Hindu,A,HS
278,Sourav Biswas,DEMO-0278,Howrah,37,Muslim,B,Madhyamik
279,Subhajit Biswas,DEMO-0279,Hooghly,38,Christian,A,Graduate
280,Surojit Biswas,DEMO-0280,Bardhaman,39,Other,C,HS
281,Bishal Biswas,DEMO-0281,Kolkata,40,Hindu,A,HS
282,Debashis Biswas,DEMO-0282,Murshidabad,41,Muslim,A,HS
283,Abhishek Biswas,DEMO-0283,Jangipur,42,Christian,B,Madhyamik
284,Pradip Biswas,DEMO-0284,Berhampore,43,Other,A,Graduate
285,Raj Biswas,DEMO-0285,Raghunathganj,44,Hindu,C,HS
286,Rakesh Biswas,DEMO-0286,Malda,45,Muslim,A,HS
287,Sumit Biswas,DEMO-0287,Nadia,46,Christian,A,HS
288,Kunal Biswas,DEMO-0288,Howrah,47,Other,B,Madhyamik
289,Tapan Biswas,DEMO-0289,Hooghly,48,Hindu,A,Graduate
290,Bikram Biswas,DEMO-0290,Bardhaman,49,Muslim,C,HS
291,Puja Biswas,DEMO-0291,Kolkata,50,Christian,A,HS
292,Priya Biswas,DEMO-0292,Murshidabad,51,Other,A,HS
293,Riya Biswas,DEMO-0293,Jangipur,52,Hindu,B,Madhyamik
294,Moumita Biswas,DEMO-0294,Berhampore,53,Muslim,A,Graduate
295,Sneha Biswas,DEMO-0295,Raghunathganj,54,Christian,C,HS
296,Ananya Biswas,DEMO-0296,Malda,55,Other,A,HS
297,Payel Biswas,DEMO-0297,Nadia,56,Hindu,A,HS
298,Sonia Biswas,DEMO-0298,Howrah,57,Muslim,B,Madhyamik
299,Tania Biswas,DEMO-0299,Hooghly,58,Christian,A,Graduate
300,Rupali Biswas,DEMO-0300,Bardhaman,59,Other,C,HS
301,Amit Roy,DEMO-0301,Kolkata,60,Hindu,A,HS
302,Suman Roy,DEMO-0302,Murshidabad,18,Muslim,A,HS
303,Rahul Roy,DEMO-0303,Jangipur,19,Christian,B,Madhyamik
304,Rohit Roy,DEMO-0304,Berhampore,20,Other,A,Graduate
305,Ankit Roy,DEMO-0305,Raghunathganj,21,Hindu,C,HS
306,Arjun Roy,DEMO-0306,Malda,22,Muslim,A,HS
307,Vikash Roy,DEMO-0307,Nadia,23,Christian,A,HS
308,Sourav Roy,DEMO-0308,Howrah,24,Other,B,Madhyamik
309,Subhajit Roy,DEMO-0309,Hooghly,25,Hindu,A,Graduate
310,Surojit Roy,DEMO-0310,Bardhaman,26,Muslim,C,HS
311,Bishal Roy,DEMO-0311,Kolkata,27,Christian,A,HS
312,Debashis Roy,DEMO-0312,Murshidabad,28,Other,A,HS
313,Abhishek Roy,DEMO-0313,Jangipur,29,Hindu,B,Madhyamik
314,Pradip Roy,DEMO-0314,Berhampore,30,Muslim,A,Graduate
315,Raj Roy,DEMO-0315,Raghunathganj,31,Christian,C,HS
316,Rakesh Roy,DEMO-0316,Malda,32,Other,A,HS
317,Sumit Roy,DEMO-0317,Nadia,33,Hindu,A,HS
318,Kunal Roy,DEMO-0318,Howrah,34,Muslim,B,Madhyamik
319,Tapan Roy,DEMO-0319,Hooghly,35,Christian,A,Graduate
320,Bikram Roy,DEMO-0320,Bardhaman,36,Other,C,HS
321,Puja Roy,DEMO-0321,Kolkata,37,Hindu,A,HS
322,Priya Roy,DEMO-0322,Murshidabad,38,Muslim,A,HS
323,Riya Roy,DEMO-0323,Jangipur,39,Christian,B,Madhyamik
324,Moumita Roy,DEMO-0324,Berhampore,40,Other,A,Graduate
325,Sneha Roy,DEMO-0325,Raghunathganj,41,Hindu,C,HS
326,Ananya Roy,DEMO-0326,Malda,42,Muslim,A,HS
327,Payel Roy,DEMO-0327,Nadia,43,Christian,A,HS
328,Sonia Roy,DEMO-0328,Howrah,44,Other,B,Madhyamik
329,Tania Roy,DEMO-0329,Hooghly,45,Hindu,A,Graduate
330,Rupali Roy,DEMO-0330,Bardhaman,46,Muslim,C,HS
331,Amit Ghosh,DEMO-0331,Kolkata,47,Christian,A,HS
332,Suman Ghosh,DEMO-0332,Murshidabad,48,Other,A,HS
333,Rahul Ghosh,DEMO-0333,Jangipur,49,Hindu,B,Madhyamik
334,Rohit Ghosh,DEMO-0334,Berhampore,50,Muslim,A,Graduate
335,Ankit Ghosh,DEMO-0335,Raghunathganj,51,Christian,C,HS
336,Arjun Ghosh,DEMO-0336,Malda,52,Other,A,HS
337,Vikash Ghosh,DEMO-0337,Nadia,53,Hindu,A,HS
338,Sourav Ghosh,DEMO-0338,Howrah,54,Muslim,B,Madhyamik
339,Subhajit Ghosh,DEMO-0339,Hooghly,55,Christian,A,Graduate
340,Surojit Ghosh,DEMO-0340,Bardhaman,56,Other,C,HS
341,Bishal Ghosh,DEMO-0341,Kolkata,57,Hindu,A,HS
342,Debashis Ghosh,DEMO-0342,Murshidabad,58,Muslim,A,HS
343,Abhishek Ghosh,DEMO-0343,Jangipur,59,Christian,B,Madhyamik
344,Pradip Ghosh,DEMO-0344,Berhampore,60,Other,A,Graduate
345,Raj Ghosh,DEMO-0345,Raghunathganj,18,Hindu,C,HS
346,Rakesh Ghosh,DEMO-0346,Malda,19,Muslim,A,HS
347,Sumit Ghosh,DEMO-0347,Nadia,20,Christian,A,HS
348,Kunal Ghosh,DEMO-0348,Howrah,21,Other,B,Madhyamik
349,Tapan Ghosh,DEMO-0349,Hooghly,22,Hindu,A,Graduate
350,Bikram Ghosh,DEMO-0350,Bardhaman,23,Muslim,C,HS
351,Puja Ghosh,DEMO-0351,Kolkata,24,Christian,A,HS
352,Priya Ghosh,DEMO-0352,Murshidabad,25,Other,A,HS
353,Riya Ghosh,DEMO-0353,Jangipur,26,Hindu,B,Madhyamik
354,Moumita Ghosh,DEMO-0354,Berhampore,27,Muslim,A,Graduate
355,Sneha Ghosh,DEMO-0355,Raghunathganj,28,Christian,C,HS
356,Ananya Ghosh,DEMO-0356,Malda,29,Other,A,HS
357,Payel Ghosh,DEMO-0357,Nadia,30,Hindu,A,HS
358,Sonia Ghosh,DEMO-0358,Howrah,31,Muslim,B,Madhyamik
359,Tania Ghosh,DEMO-0359,Hooghly,32,Christian,A,Graduate
360,Rupali Ghosh,DEMO-0360,Bardhaman,33,Other,C,HS
361,Amit Das,DEMO-0361,Kolkata,34,Hindu,A,HS
362,Suman Das,DEMO-0362,Murshidabad,35,Muslim,A,HS
363,Rahul Das,DEMO-0363,Jangipur,36,Christian,B,Madhyamik
364,Rohit Das,DEMO-0364,Berhampore,37,Other,A,Graduate
365,Ankit Das,DEMO-0365,Raghunathganj,38,Hindu,C,HS
366,Arjun Das,DEMO-0366,Malda,39,Muslim,A,HS
367,Vikash Das,DEMO-0367,Nadia,40,Christian,A,HS
368,Sourav Das,DEMO-0368,Howrah,41,Other,B,Madhyamik
369,Subhajit Das,DEMO-0369,Hooghly,42,Hindu,A,Graduate
370,Surojit Das,DEMO-0370,Bardhaman,43,Muslim,C,HS
371,Bishal Das,DEMO-0371,Kolkata,44,Christian,A,HS
372,Debashis Das,DEMO-0372,Murshidabad,45,Other,A,HS
373,Abhishek Das,DEMO-0373,Jangipur,46,Hindu,B,Madhyamik
374,Pradip Das,DEMO-0374,Berhampore,47,Muslim,A,Graduate
375,Raj Das,DEMO-0375,Raghunathganj,48,Christian,C,HS
376,Rakesh Das,DEMO-0376,Malda,49,Other,A,HS
